,Id,Top-Left,Bottom-Right,Centre,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box,Cluster
102,102,"(580, 954)","(626, 1029)","[603.0, 991.5]","[603.0, 954]","[603.0, 1029]","[580, 991.5]","[626, 991.5]","[92.11541673357398, 103]","[43.34166586553867, 110]","[104.3707334457318, 109]","[138.04437692278523, 111]",3
103,103,"(648, 954)","(728, 1025)","[688.0, 989.5]","[688.0, 954]","[688.0, 1025]","[648, 989.5]","[728, 989.5]","[97.61275531404695, 104]","[68.6476510887299, 111]","[89.75661535508121, 110]","[156.12895311248326, 90]",3
104,104,"(757, 954)","(802, 1022)","[779.5, 988.0]","[779.5, 954]","[779.5, 1022]","[757, 988.0]","[802, 988.0]","[119.4026800369238, 105]","[64.2748006609122, 111]","[140.14010846292362, 112]","[167.79824194549835, 120]",3
105,105,"(831, 964)","(950, 1032)","[890.5, 998.0]","[890.5, 964]","[890.5, 1032]","[831, 998.0]","[950, 998.0]","[117.52659273543158, 112]","[102.45974819410792, 113]","[118.14609599982558, 111]","[64.19501538281614, 106]",3
106,106,"(981, 957)","(1047, 1029)","[1014.0, 993.0]","[1014.0, 957]","[1014.0, 1029]","[981, 993.0]","[1047, 993.0]","[121.87801278327441, 113]","[90.12352634024037, 114]","[144.91117969294157, 112]","[88.40955830678038, 107]",3
107,107,"(1076, 974)","(1194, 1029)","[1135.0, 1001.5]","[1135.0, 974]","[1135.0, 1029]","[1076, 1001.5]","[1194, 1001.5]","[104.78549517943789, 115]","[63.310741584663184, 114]","[118.14609599982558, 113]","[158.8812449598756, 123]",3
108,108,"(309, 1029)","(464, 1118)","[386.5, 1073.5]","[386.5, 1029]","[386.5, 1118]","[309, 1073.5]","[464, 1073.5]","[126.01686395082207, 116]","[72.89890259805013, 117]","[165.54833131143303, 124]","[45.33486517019765, 109]",3
109,109,"(486, 1032)","(532, 1104)","[509.0, 1068.0]","[509.0, 1032]","[509.0, 1104]","[486, 1068.0]","[532, 1068.0]","[109.84762173119634, 110]","[66.13811306652164, 118]","[88.76936408468859, 117]","[155.19745487603848, 119]",3
110,110,"(551, 1032)","(672, 1111)","[611.5, 1071.5]","[611.5, 1032]","[611.5, 1111]","[551, 1071.5]","[672, 1071.5]","[122.40302283849039, 96]","[65.43699259593154, 119]","[80.57605103254937, 118]","[66.5, 111]",3
111,111,"(694, 1036)","(783, 1107)","[738.5, 1071.5]","[738.5, 1036]","[738.5, 1107]","[694, 1071.5]","[783, 1071.5]","[125.89777599306511, 97]","[88.05963888183962, 120]","[86.44362324659929, 119]","[81.30190649671138, 112]",3
